member_id,effective_date,posted_date,corrected_annual_salary,reason
MBR-00019,2027-01-01,2028-06-01,69383.8,late-reported compensation
MBR-00021,2019-01-01,2023-05-01,198585.16,late-reported compensation
MBR-00022,2007-01-01,2010-03-01,118672.63,late-reported compensation
MBR-00033,2020-01-01,2021-10-01,88454.58,late-reported compensation
MBR-00035,2021-01-01,2022-09-01,101965.44,late-reported compensation
MBR-00046,2013-01-01,2014-07-01,143277.52,late-reported compensation
MBR-00068,2028-01-01,2031-07-01,165251.04,late-reported compensation
MBR-00089,2025-01-01,2028-12-01,217062.7,late-reported compensation
MBR-00104,2013-01-01,2016-09-01,86914.86,late-reported compensation
MBR-00114,2012-01-01,2016-05-01,87408.29,late-reported compensation
MBR-00117,2015-01-01,2017-02-01,150548.19,late-reported compensation
MBR-00118,2039-01-01,2040-09-01,159103.54,late-reported compensation
MBR-00119,2017-01-01,2020-08-01,144773.55,late-reported compensation
MBR-00142,2026-01-01,2029-03-01,104374.03,late-reported compensation
MBR-00148,2012-01-01,2013-09-01,194970.03,late-reported compensation
MBR-00162,2026-01-01,2029-11-01,148112.42,late-reported compensation
MBR-00170,2024-01-01,2026-01-01,101922.23,late-reported compensation
MBR-00186,2033-01-01,2035-11-01,88373.17,late-reported compensation
MBR-00190,2030-01-01,2034-01-01,201032.49,late-reported compensation
MBR-00199,2032-01-01,2035-01-01,109286.86,late-reported compensation
MBR-00202,2018-01-01,2021-07-01,128567.37,late-reported compensation
MBR-00206,2036-01-01,2037-09-01,84846.02,late-reported compensation
MBR-00229,2037-01-01,2038-11-01,67502.42,late-reported compensation
MBR-00267,2018-01-01,2020-09-01,154900.57,late-reported compensation
MBR-00275,2031-01-01,2033-11-01,156127.97,late-reported compensation
MBR-00292,2004-01-01,2007-09-01,87696.48,late-reported compensation
MBR-00302,2013-01-01,2016-02-01,122909.54,late-reported compensation
MBR-00370,2022-01-01,2024-06-01,89851.35,late-reported compensation
MBR-00376,2038-01-01,2041-03-01,115375.98,late-reported compensation
MBR-00392,2023-01-01,2024-12-01,129796.46,late-reported compensation
MBR-00395,2022-01-01,2024-10-01,190596.26,late-reported compensation
MBR-00406,2024-01-01,2025-07-01,73082.39,late-reported compensation
MBR-00438,2006-01-01,2009-08-01,67418.4,late-reported compensation
MBR-00477,2017-01-01,2018-07-01,68017.03,late-reported compensation
MBR-00490,2014-01-01,2018-03-01,125246.77,late-reported compensation
MBR-00497,2008-01-01,2012-01-01,110529.53,late-reported compensation
MBR-00534,2019-01-01,2021-07-01,65748.13,late-reported compensation
MBR-00564,2024-01-01,2026-01-01,137391.97,late-reported compensation
MBR-00594,2027-01-01,2030-07-01,185846.99,late-reported compensation
MBR-00615,2025-01-01,2027-02-01,147239.33,late-reported compensation
MBR-00617,2038-01-01,2042-04-01,87500.0,late-reported compensation
MBR-00643,2024-01-01,2027-12-01,156255.8,late-reported compensation
MBR-00648,2032-01-01,2035-02-01,166845.87,late-reported compensation
MBR-00659,2029-01-01,2032-10-01,103616.21,late-reported compensation
MBR-00715,2030-01-01,2032-01-01,163190.51,late-reported compensation
MBR-00727,2017-01-01,2019-05-01,90006.43,late-reported compensation
MBR-00780,2029-01-01,2031-07-01,167005.02,late-reported compensation
MBR-00784,2019-01-01,2022-10-01,150651.04,late-reported compensation
MBR-00792,2019-01-01,2020-07-01,193028.94,late-reported compensation
MBR-00808,2035-01-01,2037-02-01,142873.85,late-reported compensation
MBR-00834,2031-01-01,2032-08-01,153292.0,late-reported compensation
MBR-00840,2024-01-01,2027-11-01,150355.71,late-reported compensation
MBR-00847,2010-01-01,2012-08-01,144492.06,late-reported compensation
MBR-00913,2014-01-01,2015-03-01,85431.83,late-reported compensation
MBR-00947,2042-01-01,2043-10-01,101502.9,late-reported compensation
MBR-00948,2032-01-01,2035-08-01,54807.21,late-reported compensation
MBR-00949,2022-01-01,2023-05-01,221061.25,late-reported compensation
MBR-00992,2026-01-01,2027-08-01,114383.97,late-reported compensation
EDGE-0001,2021-01-01,2024-02-10,78400.0,compensation restated after audit
